model,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,conv_blocks,layer_size,dense_layers,n_params,epochs_run
3conv-64filters-0dense,val,0.6129032258064516,0.28997206703910616,0.296243674200196,0.543292436522068,3,64,0,356746,14
3conv-32filters-0dense,val,0.6187683284457478,0.28220670391061453,0.29004195931633225,0.5331191400662618,3,32,0,159946,17
3conv-64filters-1dense,val,0.6070381231671554,0.29329608938547486,0.2872556114881347,0.5340559945120612,3,64,1,1881546,17
3conv-32filters-1dense,val,0.6099706744868035,0.2583240223463687,0.24687393621277048,0.5103375991738355,3,32,1,470762,18
2conv-32filters-0dense,val,0.5835777126099707,0.24441340782122906,0.24520882218456377,0.4932657682247183,2,32,0,716458,12
2conv-64filters-1dense,val,0.5865102639296188,0.24497206703910618,0.24165279370175038,0.4979874041283454,2,64,1,9086346,10
2conv-64filters-0dense,val,0.5747800586510264,0.2605027932960894,0.23988836229594526,0.4986906212406901,2,64,0,1451338,9
1conv-32filters-0dense,val,0.5718475073313783,0.21108938547486034,0.21512538731879788,0.4763890271254715,1,32,0,3073610,10
1conv-64filters-1dense,val,0.5601173020527859,0.23550279329608942,0.2127828954543663,0.47369846021650847,1,64,1,39339338,11
1conv-64filters-0dense,val,0.5689149560117303,0.1972067039106145,0.1902161481928924,0.4627843501607397,1,64,0,6147210,8
1conv-32filters-1dense,val,0.5747800586510264,0.1983240223463687,0.18795047268218193,0.45723072120758135,1,32,1,9835178,17
2conv-32filters-1dense,val,0.5425219941348973,0.13,0.11460062983109076,0.40173686291728833,2,32,1,2271946,11
